0,Ag,Al,As,Au,B,Ba,Be,Bi,Br,C,Ca,Cd,Ce,Cl,Co,Cr,Cs,Cu,F,Fe,Ge,H,Hg,I,Ir,K,La,Li,Mg,Mn,Mo,N,Na,Nb,Ni,O,Os,P,Pb,Pd,Pt,REE,Rh,Ru,S,Sb,Sc,Se,Si,Sn,Sr,Ta,Te,Th,Ti,U,V,W,Y,Zn,Zr
Ag,0,0,4,3,0,0,0,5,1,0,0,0,0,2,0,0,0,5,0,4,1,2,0,1,0,1,0,0,0,0,0,0,0,0,1,2,0,0,6,0,0,0,0,0,25,11,0,2,0,1,0,0,6,0,0,0,0,0,0,0,0
Al,0,0,2,0,8,4,5,0,0,6,64,0,2,4,0,0,1,9,6,37,0,140,0,0,0,26,0,8,39,7,0,1,46,0,0,180,0,21,5,0,0,0,0,0,27,0,0,0,122,0,4,0,0,0,1,1,1,0,0,1,0
As,4,2,0,0,0,1,0,1,0,1,8,0,0,2,7,1,0,27,0,16,0,39,0,0,1,1,0,0,2,0,0,0,1,0,6,41,0,0,11,1,3,0,2,1,24,4,0,0,0,0,0,0,0,0,0,2,1,0,1,4,0
Au,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,2,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0
B,0,8,0,0,0,0,1,0,0,0,6,0,0,0,0,0,0,0,0,7,0,13,0,0,0,0,0,1,4,1,0,0,5,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0
Ba,0,4,1,0,0,0,0,0,0,3,3,0,1,0,0,0,0,0,0,1,0,5,0,0,0,1,0,0,1,3,0,0,2,0,0,11,0,1,0,0,0,0,0,0,1,0,0,0,2,0,2,0,0,0,0,0,0,0,0,0,0
Be,0,5,0,0,1,0,0,0,0,0,3,0,0,0,0,0,0,0,0,2,0,7,0,0,0,1,0,0,0,1,0,0,1,0,0,14,0,1,0,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0,0,1,1,0
Bi,5,0,1,1,0,0,0,0,0,2,1,0,0,1,0,0,0,7,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,6,0,0,11,5,2,0,0,0,17,1,0,0,1,0,0,0,12,0,0,0,0,0,0,0,0
Br,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
C,0,6,1,0,0,3,0,2,0,0,21,0,6,1,0,0,0,7,4,5,0,31,0,0,0,0,0,0,9,2,0,0,7,0,1,54,0,0,7,0,0,0,0,0,8,0,0,0,6,0,3,0,0,0,0,2,0,0,1,5,0
Ca,0,64,8,0,6,3,3,1,0,21,0,0,10,4,1,1,0,6,12,32,0,116,0,0,0,15,2,0,37,15,1,0,42,5,1,165,0,17,1,0,0,0,0,0,13,0,0,0,95,0,3,2,0,4,11,10,5,1,3,2,4
Cd,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ce,0,2,0,0,0,1,0,0,0,6,10,0,0,0,0,0,0,0,5,2,0,7,0,0,0,0,2,0,1,0,0,0,3,2,0,16,0,3,0,0,0,0,0,0,0,0,0,0,5,0,2,2,0,3,4,1,0,0,2,0,0
Cl,2,4,2,0,0,0,0,1,0,1,4,0,0,0,0,0,0,6,1,2,0,11,1,0,0,3,0,0,1,1,0,1,5,0,1,19,0,3,7,0,0,0,0,0,2,0,0,0,4,0,0,0,0,0,0,0,1,0,0,1,1
Co,0,0,7,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,4,0,3,0,0,0,0,0,0,1,1,0,0,0,0,6,3,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Cr,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,3,0,2,0,0,0,0,0,0,1,0,0,0,0,0,1,6,0,2,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cs,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Cu,5,9,27,0,0,0,0,7,0,7,6,0,0,6,1,2,0,0,0,15,0,64,0,0,0,1,0,0,1,0,0,0,1,0,1,67,0,7,18,0,0,0,0,0,61,8,0,3,4,3,0,0,1,0,0,5,3,1,1,10,0
F,0,6,0,0,0,0,0,0,0,4,12,0,5,1,0,0,0,0,0,5,0,15,0,0,0,3,0,2,4,3,0,0,7,3,0,24,0,5,0,0,0,0,0,0,1,0,0,0,13,0,1,1,0,0,5,1,0,0,0,0,2
Fe,4,37,16,0,7,1,2,1,0,5,32,0,2,2,4,3,0,15,5,0,0,99,0,0,0,11,1,2,29,18,1,0,25,5,13,147,0,28,8,0,2,0,0,0,54,5,0,0,56,3,1,3,0,1,9,0,2,1,2,2,2
Ge,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
H,2,140,39,0,13,5,7,1,0,31,116,0,7,11,3,2,1,64,15,99,0,0,0,0,0,36,2,5,70,29,2,3,66,5,6,380,0,52,27,0,0,0,0,0,83,1,0,0,146,0,6,1,0,2,6,25,11,2,5,18,4
Hg,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
I,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ir,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
K,1,26,1,0,0,1,1,0,0,0,15,0,0,3,0,0,0,1,3,11,0,36,0,0,0,0,0,1,9,3,0,1,15,0,0,46,0,2,1,0,0,0,0,0,9,0,0,0,27,0,2,0,0,0,1,4,3,0,0,0,0
La,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,1,0,0,0,0,1,0,3,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,0,0
Li,0,8,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,5,0,0,0,1,0,0,0,4,0,0,1,0,0,12,0,6,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
Mg,0,39,2,0,4,1,0,0,0,9,37,0,1,1,1,1,0,1,4,29,0,70,0,0,0,9,1,0,0,7,0,0,20,0,2,97,0,6,0,0,0,0,0,0,8,0,0,0,60,0,2,0,0,1,3,1,1,0,0,0,0
Mn,0,7,0,0,1,3,1,0,0,2,15,0,0,1,1,0,0,0,3,18,0,29,0,0,0,3,0,4,7,0,0,0,7,4,1,62,0,12,1,0,0,0,0,0,2,0,0,0,20,1,2,5,0,0,3,0,0,1,0,2,2
Mo,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
N,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,3,0,0,0,1,0,0,0,0,0,0,1,0,0,4,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Na,0,46,1,0,5,2,1,0,0,7,42,0,3,5,0,0,1,1,7,25,0,66,0,0,0,15,0,1,20,7,0,1,0,3,0,88,0,3,0,0,0,1,0,0,14,0,0,0,59,0,4,1,0,0,9,2,1,0,0,0,4
Nb,0,0,0,0,0,0,0,0,0,0,5,0,2,0,0,0,0,0,3,5,0,5,0,0,0,0,1,0,0,4,0,0,3,0,0,12,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,5,0,2,5,1,0,0,5,0,2
Ni,1,0,6,0,0,0,0,1,0,1,1,0,0,1,6,1,0,1,0,13,0,6,0,0,0,0,0,0,2,1,0,0,0,0,0,6,0,1,1,2,1,0,0,0,17,2,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
O,2,180,41,0,17,11,14,6,0,54,165,0,16,19,3,6,1,67,24,147,0,380,0,0,0,46,3,12,97,62,5,4,88,12,6,0,0,71,44,0,0,1,0,0,96,7,1,0,221,2,9,8,0,8,26,28,12,6,10,24,7
Os,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
P,0,21,0,0,0,1,1,0,0,0,17,0,3,3,0,2,0,7,5,28,0,52,0,0,0,2,1,6,6,12,0,0,3,0,1,71,0,0,7,0,0,0,0,0,5,0,0,0,0,0,2,0,0,1,0,8,0,0,2,0,0
Pb,6,5,11,1,0,0,0,11,0,7,1,0,0,7,0,3,0,18,0,8,0,27,0,0,0,1,0,0,0,1,1,0,0,0,1,44,0,7,0,0,0,0,0,0,39,15,0,1,1,0,0,0,3,0,0,3,3,1,0,1,0
Pd,0,0,1,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,5,0,1,0,3,1,0,0,0,0,0,0,4,0,0,0,0,0,0,0,0
Pt,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,5,0,0,2,1,4,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
REE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
Rh,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ru,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
S,25,27,24,1,0,1,3,17,0,8,13,2,0,2,7,1,0,61,1,54,1,83,2,0,1,9,0,0,8,2,2,2,14,0,17,96,1,5,39,3,4,0,2,2,0,29,0,1,7,4,2,0,4,0,0,4,1,0,0,12,0
Sb,11,0,4,2,0,0,0,1,0,0,0,0,0,0,0,0,0,8,0,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,2,7,0,0,15,1,0,0,0,0,29,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0
Sc,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
Se,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Si,0,122,0,0,10,2,11,1,0,6,95,0,5,4,0,1,1,4,13,56,0,146,0,0,0,27,1,5,60,20,0,0,59,2,1,221,0,0,1,0,0,0,0,0,7,0,1,0,0,0,2,0,0,3,10,4,1,0,2,3,5
Sn,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,2,0,0,0,0,0,0,0,0,4,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0
Sr,0,4,0,0,0,2,0,0,0,3,3,0,2,0,0,0,0,0,1,1,0,6,0,0,0,2,0,0,2,2,0,0,4,0,0,9,0,2,0,0,0,0,0,0,2,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
Ta,0,0,0,0,0,0,0,0,0,0,2,0,2,0,0,0,0,0,1,3,0,1,0,0,0,0,0,0,0,5,0,0,1,5,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,2,1,0,0,1,0,0
Te,6,0,0,5,0,0,0,12,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,3,4,2,0,0,0,4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Th,0,0,0,0,0,0,0,0,0,0,4,0,3,0,0,0,0,0,0,1,0,2,0,0,0,0,2,0,1,0,0,0,0,2,0,8,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,1,0,0,3,2,0,0,2,0,0
Ti,0,1,0,0,0,0,0,0,0,0,11,0,4,0,0,0,0,0,5,9,0,6,0,0,0,1,2,0,3,3,0,0,9,5,0,26,0,0,0,0,0,1,0,0,0,0,0,0,10,0,1,2,0,3,0,2,0,0,3,0,2
U,0,1,2,0,0,0,0,0,0,2,10,0,1,0,0,0,0,5,1,0,0,25,0,0,0,4,0,0,1,0,0,0,2,1,0,28,0,8,3,0,0,0,0,0,4,0,0,0,4,0,0,1,0,2,2,0,3,0,1,0,0
V,0,1,1,0,0,0,0,0,0,0,5,0,0,1,0,0,0,3,0,2,0,11,0,0,0,3,0,0,1,0,0,0,1,0,0,12,0,0,3,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3,0,0,0,1,0
W,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,2,0,0,0,0,0,0,0,1,0,0,0,0,0,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Y,0,0,1,0,0,0,1,0,0,1,3,0,2,0,0,0,0,1,0,2,0,5,0,0,0,0,1,0,0,0,0,0,0,5,0,10,0,2,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,2,3,1,0,0,0,0,0
Zn,0,1,4,0,0,0,1,0,0,5,2,0,0,1,0,0,0,10,0,2,0,18,0,0,0,0,0,0,0,2,0,0,0,0,0,24,0,0,1,0,0,0,0,0,12,1,0,0,3,1,0,0,0,0,0,0,1,0,0,0,0
Zr,0,0,0,0,0,0,0,0,0,0,4,0,0,1,0,0,0,0,2,2,0,4,0,0,0,0,0,0,0,2,0,0,4,2,0,7,0,0,0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,2,0,0,0,0,0,0
